iter	Passed	Remaining
705	2354	980
706	2358	977
707	2362	974
708	2366	971
709	2371	968
710	2375	965
711	2378	962
712	2383	959
713	2386	955
714	2390	952
715	2394	949
716	2397	946
717	2401	943
718	2405	940
719	2409	937
720	2412	933
721	2416	930
722	2421	927
723	2424	924
724	2428	921
725	2431	917
726	2435	914
727	2440	911
728	2443	908
729	2447	905
730	2452	902
731	2456	899
732	2459	896
733	2463	892
734	2467	889
735	2471	886
736	2474	883
737	2478	879
738	2482	876
739	2485	873
740	2489	870
741	2492	866
742	2497	863
743	2500	860
744	2503	857
745	2507	853
746	2510	850
747	2514	846
748	2517	843
749	2521	840
750	2524	837
751	2527	833
752	2531	830
753	2535	827
754	2538	823
755	2541	820
756	2544	816
757	2547	813
758	2550	809
759	2553	806
760	2556	802
761	2559	799
762	2562	795
763	2565	792
764	2569	789
765	2573	786
766	2576	782
767	2579	779
768	2582	775
769	2585	772
770	2588	768
771	2591	765
772	2595	762
773	2597	758
774	2600	755
775	2604	751
776	2606	748
777	2610	744
778	2613	741
779	2616	737
780	2619	734
781	2623	731
782	2625	727
783	2629	724
784	2632	721
785	2636	717
786	2640	714
787	2644	711
788	2647	708
789	2651	704
790	2654	701
791	2658	698
792	2662	695
793	2666	691
794	2669	688
795	2672	684
796	2675	681
797	2678	677
798	2681	674
799	2684	671
800	2687	667
801	2690	664
802	2694	661
803	2697	657
804	2700	654
805	2703	650
806	2707	647
807	2711	644
808	2715	641
809	2718	637
810	2721	634
811	2724	630
812	2728	627
813	2731	624
814	2736	621
815	2739	617
816	2742	614
817	2745	610
818	2748	607
819	2751	604
820	2754	600
821	2757	597
822	2760	593
823	2763	590
824	2766	586
825	2770	583
826	2773	580
827	2777	576
828	2780	573
829	2783	570
830	2786	566
831	2789	563
832	2792	559
833	2795	556
834	2798	552
835	2801	549
836	2804	546
837	2807	542
838	2810	539
839	2813	535
840	2816	532
841	2820	529
842	2822	525
843	2826	522
844	2829	518
845	2832	515
846	2835	512
847	2839	509
848	2843	505
849	2848	502
850	2852	499
851	2856	496
852	2862	493
853	2865	489
854	2869	486
855	2873	483
856	2877	480
857	2880	476
858	2884	473
859	2888	470
860	2891	466
861	2895	463
862	2898	460
863	2903	456
864	2907	453
865	2911	450
866	2914	447
867	2918	443
868	2924	440
869	2928	437
870	2933	434
871	2937	431
872	2942	428
873	2946	424
874	2949	421
875	2953	418
876	2957	414
877	2962	411
878	2965	408
879	2968	404
880	2972	401
881	2975	398
882	2978	394
883	2981	391
884	2984	387
885	2987	384
886	2990	381
887	2993	377
888	2996	374
889	2999	370
890	3003	367
891	3006	364
892	3009	360
893	3012	357
894	3015	353
895	3018	350
896	3022	347
897	3025	343
898	3028	340
899	3031	336
900	3034	333
901	3037	329
902	3040	326
903	3043	323
904	3047	319
905	3050	316
906	3053	313
907	3056	309
908	3059	306
909	3062	302
910	3065	299
911	3068	296
912	3071	292
913	3074	289
914	3077	285
915	3080	282
916	3083	279
917	3088	275
918	3092	272
919	3095	269
920	3099	265
921	3104	262
922	3107	259
923	3111	255
924	3114	252
925	3118	249
926	3121	245
927	3125	242
928	3128	239
929	3131	235
930	3136	232
931	3139	229
932	3142	225
933	3145	222
934	3148	218
935	3151	215
936	3154	212
937	3157	208
938	3160	205
939	3163	201
940	3167	198
941	3169	195
942	3172	191
943	3175	188
944	3179	185
945	3183	181
946	3186	178
947	3190	174
948	3193	171
949	3197	168
950	3199	164
951	3202	161
952	3205	158
953	3208	154
954	3211	151
955	3215	147
956	3218	144
957	3221	141
958	3224	137
959	3228	134
960	3231	131
961	3235	127
962	3238	124
963	3241	121
964	3244	117
965	3247	114
966	3250	110
967	3253	107
968	3256	104
969	3259	100
970	3262	97
971	3265	94
972	3268	90
973	3272	87
974	3275	83
975	3278	80
976	3281	77
977	3284	73
978	3287	70
979	3290	67
980	3294	63
981	3296	60
982	3299	57
983	3302	53
984	3305	50
985	3308	46
986	3312	43
987	3315	40
988	3318	36
989	3321	33
990	3324	30
991	3327	26
992	3330	23
993	3333	20
994	3336	16
995	3339	13
996	3342	10
997	3345	6
998	3348	3
999	3351	0
